Date,Household_ID,Region,Electricity_Consumption_kWh,Gas_Consumption_kWh,Total_Cost
2026-01-01,2017,North,26.49,14.69,5.3
2026-01-02,2057,East,32.53,20.95,6.77
2026-01-03,2053,West,24.15,24.63,5.84
2026-01-04,2097,West,23.74,21.29,5.48
2026-01-05,2063,North,36.51,18.68,7.16
2026-01-06,2013,East,36.17,9.6,6.29
2026-01-07,2049,North,32.19,13.71,6.06
2026-01-08,2013,North,29.45,16.77,5.93
2026-01-09,2034,West,34.02,22.14,7.1
2026-01-10,2078,North,16.44,12.66,3.61
2026-01-11,2032,North,17.35,22.72,4.65
2026-01-12,2001,East,28.2,21.39,6.16
2026-01-13,2047,South,21.9,12.28,4.39
2026-01-14,2033,North,22.89,9.94,4.33
2026-01-15,2023,East,16.42,14.27,3.75
2026-01-16,2057,West,12.58,20.08,3.69
2026-01-17,2015,North,19.5,12.63,4.06
2026-01-18,2091,West,12.27,22.61,3.88
2026-01-19,2018,South,16.39,18.34,4.11
2026-01-20,2019,East,39.44,10.18,6.83
2026-01-21,2031,West,14.58,23.51,4.3
2026-01-22,2043,West,12.65,20.16,3.71
2026-01-23,2006,South,33.71,14.58,6.37
2026-01-24,2059,West,28.45,20.58,6.12
2026-01-25,2079,West,21.16,8.47,3.94
2026-01-26,2088,South,15.96,9.55,3.25
2026-01-27,2042,North,14.11,16.39,3.59
2026-01-28,2001,North,13.1,23.75,4.1
2026-01-29,2032,North,33.25,7.03,5.62
2026-01-30,2027,North,29.0,18.18,5.99
2026-01-31,2095,North,10.26,10.65,2.5
