Date,Household_ID,Region,Electricity_Consumption_kWh,Gas_Consumption_kWh,Total_Cost
2026-01-01,1017,East,16.4,13.55,3.05
2026-01-02,1034,South,23.12,9.02,3.5
2026-01-03,1042,South,26.23,6.03,3.63
2026-01-04,1070,West,11.05,16.23,2.62
2026-01-05,1053,North,28.97,3.03,3.72
2026-01-06,1009,East,18.45,14.88,3.4
2026-01-07,1017,South,31.45,10.13,4.58
2026-01-08,1056,West,22.02,3.43,2.92
2026-01-09,1064,South,34.6,11.6,5.08
2026-01-10,1019,East,16.37,8.69,2.66
2026-01-11,1039,South,15.0,17.0,3.16
2026-01-12,1000,North,16.08,11.31,2.83
2026-01-13,1037,North,20.66,7.6,3.09
2026-01-14,1079,West,11.23,5.64,1.8
2026-01-15,1093,West,27.01,7.57,3.85
2026-01-16,1047,South,20.5,10.77,3.32
2026-01-17,1033,North,15.89,12.51,2.91
2026-01-18,1093,North,17.91,12.71,3.17
2026-01-19,1077,East,22.89,18.7,4.24
2026-01-20,1035,West,26.41,3.39,3.44
2026-01-21,1072,West,34.97,17.61,5.61
2026-01-22,1079,South,29.48,19.32,5.08
2026-01-23,1042,West,28.98,4.99,3.88
2026-01-24,1033,East,17.01,16.91,3.39
2026-01-25,1049,South,11.93,10.2,2.25
2026-01-26,1010,West,28.94,5.14,3.88
2026-01-27,1037,East,22.59,9.3,3.45
2026-01-28,1083,North,20.46,12.37,3.44
2026-01-29,1051,East,9.68,15.0,2.36
2026-01-30,1009,East,10.88,18.84,2.81
2026-01-31,1078,West,19.68,13.29,3.42
2026-02-01,1006,South,20.9,19.71,4.08
2026-02-02,1016,South,23.63,15.96,4.11
2026-02-03,1054,East,24.96,5.25,3.42
2026-02-04,1036,East,34.36,3.48,4.4
2026-02-05,1096,West,22.73,5.28,3.15
2026-02-06,1046,East,23.74,9.25,3.59
2026-02-07,1066,North,18.59,7.83,2.86
2026-02-08,1060,North,21.22,10.67,3.4
2026-02-09,1041,West,33.24,13.05,5.03
2026-02-10,1016,South,13.22,3.47,1.86
2026-02-11,1068,South,8.3,7.15,1.57
2026-02-12,1097,West,27.66,9.33,4.07
2026-02-13,1088,South,11.4,18.06,2.81
2026-02-14,1094,South,8.58,17.11,2.4
2026-02-15,1038,South,10.74,14.42,2.44
2026-02-16,1081,North,10.8,14.73,2.47
2026-02-17,1022,North,8.15,17.66,2.39
2026-02-18,1025,South,27.35,7.46,3.88
2026-02-19,1031,South,19.01,18.26,3.74
2026-02-20,1000,South,33.28,14.23,5.13
2026-02-21,1024,South,15.38,16.28,3.15
2026-02-22,1078,South,15.82,6.31,2.4
2026-02-23,1024,North,30.2,12.32,4.61
2026-02-24,1052,South,21.24,17.46,3.95
2026-02-25,1019,South,16.13,9.57,2.7
2026-02-26,1049,North,31.37,11.36,4.67
2026-02-27,1088,North,28.17,14.69,4.56
2026-02-28,1044,West,26.32,9.46,3.92
2026-03-01,1086,East,10.49,16.2,2.55
2026-03-02,1087,South,25.27,5.28,3.45
2026-03-03,1048,North,11.69,9.06,2.13
2026-03-04,1038,South,18.44,7.1,2.78
2026-03-05,1094,North,14.87,13.28,2.85
2026-03-06,1064,South,24.5,4.62,3.31
2026-03-07,1004,East,30.32,15.3,4.86
2026-03-08,1022,South,8.63,5.47,1.47
2026-03-09,1001,West,23.74,14.65,4.02
2026-03-10,1021,East,11.17,11.91,2.29
2026-03-11,1084,North,9.24,3.46,1.39
2026-03-12,1039,West,18.31,14.3,3.34
2026-03-13,1067,East,10.88,7.98,1.94
2026-03-14,1007,West,19.1,16.14,3.58
2026-03-15,1063,West,27.98,6.18,3.85
2026-03-16,1072,North,30.21,7.88,4.26
2026-03-17,1058,North,31.84,5.85,4.29
2026-03-18,1074,North,17.73,16.1,3.42
2026-03-19,1038,East,23.58,8.25,3.49
2026-03-20,1017,West,21.11,11.89,3.48
2026-03-21,1026,East,19.76,9.75,3.15
2026-03-22,1017,North,13.19,16.08,2.87
2026-03-23,1094,West,16.4,18.41,3.44
2026-03-24,1058,South,12.93,13.94,2.67
2026-03-25,1060,South,33.62,16.42,5.35
2026-03-26,1034,East,21.19,13.02,3.58
2026-03-27,1003,East,33.2,9.43,4.74
2026-03-28,1031,North,29.64,14.4,4.71
2026-03-29,1088,West,11.29,17.58,2.76
2026-03-30,1005,West,10.04,18.22,2.66
2026-03-31,1076,South,24.25,11.26,3.81
2026-04-01,1061,West,29.66,19.14,5.09
2026-04-02,1083,West,34.62,13.84,5.26
2026-04-03,1008,East,19.37,5.69,2.78
2026-04-04,1099,North,32.43,4.0,4.21
2026-04-05,1025,North,24.95,8.21,3.65
2026-04-06,1008,West,29.69,8.57,4.25
2026-04-07,1050,East,9.76,4.35,1.52
2026-04-08,1033,South,29.64,7.83,4.18
2026-04-09,1033,North,19.27,15.49,3.55
2026-04-10,1048,East,23.96,9.76,3.66
